,num4black,num4white,0,1,2,3,4
F5,11.0,2.0,1.0,,,,
F5D6,11.0,2.0,2.0,,,,
F5D6C5,11.0,2.0,3.0,,,,
F5D6C5F4,11.0,2.0,4.0,,,,
F5D6C5F4E3,11.0,2.0,5.0,,,,
F5D6C5F4E3C6,11.0,2.0,6.0,,,,
F5D6C5F4E3C6D3,11.0,2.0,7.0,,,,
F5D6C5F4E3C6D3F6,11.0,2.0,8.0,,,,
F5D6C5F4E3C6D3F6E6,11.0,2.0,9.0,,,,
F5D6C5F4E3C6D3F6E6D7,11.0,2.0,10.0,,,,
F5D6C5F4E3C6D3F6E6D7G4,11.0,2.0,11.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4,11.0,2.0,12.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5,11.0,2.0,13.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3,11.0,2.0,14.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4,11.0,2.0,15.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3,11.0,2.0,16.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5,11.0,2.0,17.0,103.0,254.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2,1.0,10.0,18.0,31.0,63.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3,1.0,6.0,19.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2,1.0,6.0,20.0,43.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1,1.0,2.0,21.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6,1.0,2.0,22.0,268.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7,4.0,1.0,23.0,156.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6,1.0,3.0,24.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5,1.0,3.0,25.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4,1.0,3.0,26.0,362.0,638.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4B6,2.0,1.0,27.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4B6E7,2.0,1.0,28.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4B6E7C1,2.0,1.0,29.0,333.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4B6E7C1F1,1.0,1.0,30.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2D1G6C7A6A5A4B6E7C1F1E1,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2,6.0,1.0,32.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5,6.0,1.0,33.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6,6.0,1.0,34.0,367.0,1038.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7,3.0,1.0,35.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7,3.0,1.0,36.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4,3.0,1.0,37.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6,3.0,1.0,38.0,1185.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6C8,2.0,1.0,39.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6C8F7,2.0,1.0,40.0,853.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6C8F7E7,1.0,1.0,41.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6C8F7E7E8,1.0,1.0,42.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2D2A5A6A7C7A4B6C8F7E7E8F8,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2,4.0,4.0,44.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6,4.0,4.0,45.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5,4.0,4.0,46.0,126.0,134.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1,1.0,5.0,47.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1,1.0,5.0,48.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1,1.0,5.0,49.0,193.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2,1.0,4.0,50.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3,1.0,4.0,51.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4,1.0,4.0,52.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6,1.0,4.0,53.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7,1.0,4.0,54.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8,1.0,4.0,55.0,353.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7,1.0,3.0,56.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7,1.0,3.0,57.0,532.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1,1.0,2.0,58.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1G6,1.0,2.0,59.0,1161.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1G6C1,1.0,1.0,60.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1G6C1B2,1.0,1.0,61.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1G6C1B2C8,1.0,1.0,62.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2F3D2C2A6A5D1F1E1F2A3A4B6E7F8C7F7B1G6C1B2C8D8,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2,7.0,3.0,64.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2,7.0,3.0,65.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2F3,7.0,3.0,66.0,84.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2F3A6,4.0,3.0,67.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2F3A6A5,4.0,3.0,68.0,76.0,198.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2F3A6A5G6,1.0,10.0,69.0,164.0,303.0,1141.0,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3B4B3B5E2C2D2F3A6A5G6F7,5.0,1.0,70.0,648.0,942.0,,
