,num4black,num4white,0,1,2,3,4
F5,8.0,2.0,1.0,,,,
F5D6,8.0,2.0,2.0,,,,
F5D6C5,8.0,2.0,3.0,,,,
F5D6C5F4,8.0,2.0,4.0,,,,
F5D6C5F4E3,8.0,2.0,5.0,,,,
F5D6C5F4E3C6,8.0,2.0,6.0,,,,
F5D6C5F4E3C6D3,8.0,2.0,7.0,,,,
F5D6C5F4E3C6D3F6,8.0,2.0,8.0,,,,
F5D6C5F4E3C6D3F6E6,8.0,2.0,9.0,,,,
F5D6C5F4E3C6D3F6E6D7,8.0,2.0,10.0,,,,
F5D6C5F4E3C6D3F6E6D7G4,8.0,2.0,11.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4,8.0,2.0,12.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5,8.0,2.0,13.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3,8.0,2.0,14.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7,8.0,2.0,15.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2,8.0,2.0,16.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7,8.0,2.0,17.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2,8.0,2.0,18.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8,8.0,2.0,19.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3,8.0,2.0,20.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7,8.0,2.0,21.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6,8.0,2.0,22.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3,8.0,2.0,23.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4,8.0,2.0,24.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6,8.0,2.0,25.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6,8.0,2.0,26.0,40.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5,26.0,1.0,27.0,54.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8,13.0,1.0,28.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5,13.0,1.0,29.0,296.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8,12.0,1.0,30.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8,12.0,1.0,31.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3,12.0,1.0,32.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2,12.0,1.0,33.0,86.0,263.0,389.0,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5,1.0,5.0,34.0,105.0,189.0,868.0,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2,2.0,1.0,35.0,174.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2A2,1.0,1.0,36.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2A2H3,1.0,1.0,37.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2A2H3G2,1.0,1.0,38.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2A2H3G2E1,1.0,1.0,39.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5E8B5D8F8G3C2A5E2A2H3G2E1H7,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2,8.0,1.0,41.0,92.0,141.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3,1.0,6.0,42.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4,1.0,6.0,43.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5,1.0,6.0,44.0,110.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1,1.0,5.0,45.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1,1.0,5.0,46.0,466.0,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6,1.0,3.0,47.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7,1.0,3.0,48.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1,1.0,3.0,49.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1G3,1.0,3.0,50.0,754.0,787.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1G3A3,1.0,1.0,51.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1G3A3A4,1.0,1.0,52.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1G3A3A4C2,1.0,1.0,53.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6E2H3H4H5C1F1H6H7E1G3A3A4C2B5,1.0,1.0,,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3,13.0,1.0,55.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2,13.0,1.0,56.0,66.0,131.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6,1.0,4.0,57.0,198.0,473.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1,3.0,1.0,58.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4,3.0,1.0,59.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4H3,3.0,1.0,60.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4H3H2,3.0,1.0,61.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4H3H2C1,3.0,1.0,62.0,358.0,436.0,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4H3H2C1G2,1.0,1.0,63.0,,,,
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2C8F3C7G6B3B4B6A6H5G3E2H6F1H4H3H2C1G2A4,1.0,1.0,64.0,,,,
