,num4black,num4white,0
F5,1.0,1.0,1.0
F5D6,1.0,1.0,2.0
F5D6C5,1.0,1.0,3.0
F5D6C5F4,1.0,1.0,4.0
F5D6C5F4E3,1.0,1.0,5.0
F5D6C5F4E3C6,1.0,1.0,6.0
F5D6C5F4E3C6D3,1.0,1.0,7.0
F5D6C5F4E3C6D3F6,1.0,1.0,8.0
F5D6C5F4E3C6D3F6E6,1.0,1.0,9.0
F5D6C5F4E3C6D3F6E6D7,1.0,1.0,10.0
F5D6C5F4E3C6D3F6E6D7G4,1.0,1.0,11.0
F5D6C5F4E3C6D3F6E6D7G4C4,1.0,1.0,12.0
F5D6C5F4E3C6D3F6E6D7G4C4G5,1.0,1.0,13.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3,1.0,1.0,14.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7,1.0,1.0,15.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2,1.0,1.0,16.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7,1.0,1.0,17.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2,1.0,1.0,18.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2,1.0,1.0,19.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3,1.0,1.0,20.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8,1.0,1.0,21.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1,1.0,1.0,22.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7,1.0,1.0,23.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8,1.0,1.0,24.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1,1.0,1.0,25.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8,1.0,1.0,26.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1,1.0,1.0,27.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6,1.0,1.0,28.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1,1.0,1.0,29.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6,1.0,1.0,30.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8,1.0,1.0,31.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8,1.0,1.0,32.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6,1.0,1.0,33.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8,1.0,1.0,34.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2,1.0,1.0,35.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2G3,1.0,1.0,36.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2G3H4,1.0,1.0,37.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2G3H4H5,1.0,1.0,38.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2G3H4H5B3,1.0,1.0,39.0
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2E2F3C8E1C7D8F1F8D1B6C1G6E8B8H6G8C2G3H4H5B3G2,1.0,1.0,
