,num4black,num4white,0,1,2,3
F5,2.0,6.0,1.0,,,
F5D6,2.0,6.0,2.0,,,
F5D6C5,2.0,6.0,3.0,,,
F5D6C5F4,2.0,6.0,4.0,,,
F5D6C5F4E3,2.0,6.0,5.0,,,
F5D6C5F4E3C6,2.0,6.0,6.0,,,
F5D6C5F4E3C6E6,2.0,6.0,7.0,,,
F5D6C5F4E3C6E6F6,2.0,6.0,8.0,,,
F5D6C5F4E3C6E6F6D7,2.0,6.0,9.0,,,
F5D6C5F4E3C6E6F6D7C7,2.0,6.0,10.0,,,
F5D6C5F4E3C6E6F6D7C7E7,2.0,6.0,11.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8,2.0,6.0,12.0,94.0,,
F5D6C5F4E3C6E6F6D7C7E7E8D8,5.0,4.0,13.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8,5.0,4.0,14.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7,5.0,4.0,15.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8,5.0,4.0,16.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3,5.0,4.0,17.0,34.0,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4,1.0,12.0,18.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5,1.0,12.0,19.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6,1.0,12.0,20.0,53.0,134.0,244.0
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6,1.0,8.0,21.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6C4,1.0,8.0,22.0,208.0,352.0,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6C4A3,4.0,4.0,23.0,85.0,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6C4A3D3,2.0,4.0,24.0,378.0,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6C4A3D3D2,2.0,3.0,25.0,,,
F5D6C5F4E3C6E6F6D7C7E7E8D8C8F7F8G3B4B5B6A6C4A3D3D2C3,2.0,3.0,26.0,,,
