,num4black,num4white,0,1,2
F5,1.0,4.0,1.0,,
F5D6,1.0,4.0,2.0,,
F5D6C5,1.0,4.0,3.0,,
F5D6C5F4,1.0,4.0,4.0,,
F5D6C5F4E3,1.0,4.0,5.0,,
F5D6C5F4E3C6,1.0,4.0,6.0,,
F5D6C5F4E3C6E6,1.0,4.0,7.0,,
F5D6C5F4E3C6E6F6,1.0,4.0,8.0,,
F5D6C5F4E3C6E6F6G4,1.0,4.0,9.0,,
F5D6C5F4E3C6E6F6G4C4,1.0,4.0,10.0,,
F5D6C5F4E3C6E6F6G4C4G5,1.0,4.0,11.0,,
F5D6C5F4E3C6E6F6G4C4G5C3,1.0,4.0,12.0,33.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7,1.0,3.0,13.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3,1.0,3.0,14.0,128.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3,8.0,1.0,15.0,61.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7,4.0,1.0,16.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7,4.0,1.0,17.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7,4.0,1.0,18.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3,4.0,1.0,19.0,106.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5,2.0,1.0,20.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6,2.0,1.0,21.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4,2.0,1.0,22.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3,2.0,1.0,23.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6,2.0,1.0,24.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7,2.0,1.0,25.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8,2.0,1.0,26.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8,2.0,1.0,27.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8,2.0,1.0,28.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4,2.0,1.0,29.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5,2.0,1.0,30.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3,2.0,1.0,31.0,127.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4,1.0,4.0,32.0,145.0,150.0
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3F7C7E7D3H5H6H4H3G6H7C8D8E8B4A5A3A4B3,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3F7,1.0,1.0,34.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6,1.0,1.0,35.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5,1.0,1.0,36.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3,1.0,1.0,37.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4,1.0,1.0,38.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3,1.0,1.0,39.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7,1.0,1.0,40.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7,1.0,1.0,41.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7,1.0,1.0,42.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8,1.0,1.0,43.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5,1.0,1.0,44.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3,1.0,1.0,45.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3,1.0,1.0,46.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4,1.0,1.0,47.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6,1.0,1.0,48.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8,1.0,1.0,49.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2,1.0,1.0,50.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6,1.0,1.0,51.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5,1.0,1.0,52.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3,1.0,1.0,53.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4,1.0,1.0,54.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7,1.0,1.0,55.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2,1.0,1.0,56.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8,1.0,1.0,57.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7,1.0,1.0,58.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2,1.0,1.0,59.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2E2,1.0,1.0,60.0,,
F5D6C5F4E3C6E6F6G4C4G5C3F7G6H5H3H4D3D7E7C7D8B5G3F3B4B6C8D2H6A5A3A4A7A2G8B7F2E2E1,1.0,1.0,,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7,4.0,1.0,62.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7,4.0,1.0,63.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8,4.0,1.0,64.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8,4.0,1.0,65.0,87.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7,2.0,1.0,66.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8,2.0,1.0,67.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6,2.0,1.0,68.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8,2.0,1.0,69.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5,2.0,1.0,70.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3,2.0,1.0,71.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2,2.0,1.0,72.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2,2.0,1.0,73.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2,2.0,1.0,74.0,,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1,2.0,1.0,75.0,158.0,
F5D6C5F4E3C6E6F6G4C4G5C3D7F3G3E7C7D8C8F7E8G6F8H5D3D2E2C2D1H4,1.0,2.0,76.0,,
