,num4black,num4white,0,1,2,3
F5,5.0,1.0,1.0,,,
F5F6,5.0,1.0,2.0,,,
F5F6E6,5.0,1.0,3.0,,,
F5F6E6D6,5.0,1.0,4.0,,,
F5F6E6D6C4,5.0,1.0,5.0,101.0,,
F5F6E6D6C4G5,1.0,17.0,6.0,,,
F5F6E6D6C4G5C6,1.0,17.0,7.0,,,
F5F6E6D6C4G5C6C5,1.0,17.0,8.0,,,
F5F6E6D6C4G5C6C5D7,1.0,17.0,9.0,,,
F5F6E6D6C4G5C6C5D7E7,1.0,17.0,10.0,,,
F5F6E6D6C4G5C6C5D7E7G6,1.0,17.0,11.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7,1.0,17.0,12.0,28.0,70.0,176.0
F5F6E6D6C4G5C6C5D7E7G6C7B5,1.0,14.0,13.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5,1.0,14.0,14.0,50.0,123.0,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5,1.0,7.0,15.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7,1.0,7.0,16.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8,1.0,7.0,17.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6,1.0,7.0,18.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7,1.0,7.0,19.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3,1.0,7.0,20.0,89.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8,2.0,3.0,21.0,55.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3,1.0,4.0,22.0,80.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6,1.0,3.0,23.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6,1.0,3.0,24.0,60.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6C8,1.0,2.0,25.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6C8F3,1.0,2.0,26.0,136.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6C8F3D3,1.0,1.0,27.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6C8F3D3F4,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5,4.0,1.0,29.0,148.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3,3.0,1.0,30.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6,3.0,1.0,31.0,42.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3,2.0,1.0,32.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4,2.0,1.0,33.0,97.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7,1.0,3.0,34.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5,1.0,3.0,35.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3,1.0,3.0,36.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3,1.0,3.0,37.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3B4,1.0,3.0,38.0,174.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3B4F8,1.0,2.0,39.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3B4F8G4,1.0,2.0,40.0,65.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3B4F8G4E8,2.0,1.0,41.0,75.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6C3F4F7B5E3F3B4F8G4E8G3,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7,1.0,3.0,43.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4,1.0,3.0,44.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3,1.0,3.0,45.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5,1.0,3.0,46.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3,1.0,3.0,47.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3,1.0,3.0,48.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3B4,1.0,3.0,49.0,62.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3B4F2,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5D8,1.0,4.0,51.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5D8F8,1.0,4.0,52.0,66.0,152.0,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5D8F8C8,2.0,1.0,53.0,118.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5D8F8C8H6,1.0,1.0,54.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5D8F8C8H6F4,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8D3,1.0,3.0,56.0,171.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8D3B8,1.0,2.0,57.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8D3B8F3,1.0,2.0,58.0,77.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8D3B8F3E3,1.0,1.0,59.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8D3B8F3E3F4,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6B4,2.0,1.0,61.0,158.0,,
F5F6E6D6C4G5C6C5D7E7G6C7B5A5H5F7F8H6H7B3E8C3B6A6B4E3,1.0,1.0,,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3B4F8,1.0,2.0,63.0,,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3B4F8G4,1.0,2.0,64.0,84.0,,
F5F6E6D6C4G5C6C5D7E7G6C7H5D3B6F7F4C3B5E3F3B4F8G4G3,1.0,1.0,,,,
