,num4black,num4white,0,1,2,3
F5,8.0,1.0,1.0,,,
F5F6,8.0,1.0,2.0,,,
F5F6E6,8.0,1.0,3.0,,,
F5F6E6D6,8.0,1.0,4.0,,,
F5F6E6D6C5,8.0,1.0,5.0,,,
F5F6E6D6C5E3,8.0,1.0,6.0,,,
F5F6E6D6C5E3D3,8.0,1.0,7.0,,,
F5F6E6D6C5E3D3C4,8.0,1.0,8.0,,,
F5F6E6D6C5E3D3C4C6,8.0,1.0,9.0,,,
F5F6E6D6C5E3D3C4C6B5,8.0,1.0,10.0,,,
F5F6E6D6C5E3D3C4C6B5D7,8.0,1.0,11.0,103.0,,
F5F6E6D6C5E3D3C4C6B5D7E2,2.0,4.0,12.0,42.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6,3.0,1.0,13.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7,3.0,1.0,14.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4,3.0,1.0,15.0,60.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7,1.0,3.0,16.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7,1.0,3.0,17.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3,1.0,3.0,18.0,30.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8,1.0,2.0,19.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3,1.0,2.0,20.0,77.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5,3.0,1.0,21.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4,3.0,1.0,22.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4,3.0,1.0,23.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6,3.0,1.0,24.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3,3.0,1.0,25.0,138.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3A5,2.0,2.0,26.0,100.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3A5G4,2.0,1.0,27.0,192.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3A5G4A3,1.0,1.0,28.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3A5G4A3G6,1.0,1.0,29.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D8F3G5F4B4A6G3A5G4A3G6H3,1.0,1.0,,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2,5.0,1.0,31.0,87.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4,4.0,1.0,32.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8,4.0,1.0,33.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5,4.0,1.0,34.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6,4.0,1.0,35.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3,4.0,1.0,36.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4,4.0,1.0,37.0,177.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4E8,2.0,2.0,38.0,75.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4E8A3,2.0,1.0,39.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4E8A3D1,2.0,1.0,40.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4E8A3D1F8,2.0,1.0,41.0,182.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4F7E7C3D2F4D8A5A6B3B4E8A3D1F8C2,1.0,1.0,,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3,2.0,3.0,43.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4,2.0,3.0,44.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2,2.0,3.0,45.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1,2.0,3.0,46.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5,2.0,3.0,47.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7,2.0,3.0,48.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6,2.0,3.0,49.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7,2.0,3.0,50.0,150.0,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3,2.0,2.0,51.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8,2.0,2.0,52.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3,2.0,2.0,53.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2,2.0,2.0,54.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1,2.0,2.0,55.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1B6,2.0,2.0,56.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1B6A5,2.0,2.0,57.0,162.0,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1B6A5H5,1.0,2.0,58.0,98.0,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1B6A5H5E8,2.0,1.0,59.0,183.0,,
F5F6E6D6C5E3D3C4C6B5D7E2C3F4D2C1G5E7G6F7F3C8G3C2F1B6A5H5E8B3,1.0,1.0,,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4C3,2.0,1.0,61.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4C3B4,2.0,1.0,62.0,214.0,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4C3B4F4,1.0,3.0,63.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4C3B4F4E7,1.0,3.0,64.0,,,
F5F6E6D6C5E3D3C4C6B5D7E2B6C7A4C3B4F4E7E8,1.0,3.0,65.0,,,
