,num4black,num4white,0,1,2,3
F5,41.0,1.0,1.0,,,
F5F6,41.0,1.0,2.0,,,
F5F6E6,41.0,1.0,3.0,,,
F5F6E6D6,41.0,1.0,4.0,,,
F5F6E6D6C5,41.0,1.0,5.0,,,
F5F6E6D6C5E3,41.0,1.0,6.0,,,
F5F6E6D6C5E3D3,41.0,1.0,7.0,,,
F5F6E6D6C5E3D3G4,41.0,1.0,8.0,,,
F5F6E6D6C5E3D3G4F3,41.0,1.0,9.0,37.0,,
F5F6E6D6C5E3D3G4F3B5,35.0,1.0,10.0,,,
F5F6E6D6C5E3D3G4F3B5C6,35.0,1.0,11.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4,35.0,1.0,12.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3,35.0,1.0,13.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4,35.0,1.0,14.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5,35.0,1.0,15.0,58.0,445.0,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2,12.0,2.0,16.0,102.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2,24.0,1.0,17.0,154.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6,12.0,1.0,18.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6,12.0,1.0,19.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4,12.0,1.0,20.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7,12.0,1.0,21.0,506.0,521.0,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3,9.0,1.0,22.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7,9.0,1.0,23.0,30.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2,8.0,1.0,24.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3,8.0,1.0,25.0,116.0,341.0,494.0
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3D2,1.0,2.0,26.0,187.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3D2C1,3.0,1.0,27.0,586.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3D2C1A2,1.0,2.0,28.0,800.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3D2C1A2D7,2.0,1.0,29.0,689.0,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7C2B3D2C1A2D7B1,1.0,1.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7D1,1.0,1.0,31.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7D1B3,1.0,1.0,32.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7D1B3C2,1.0,1.0,33.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7D1B3C2D7,1.0,1.0,34.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4C3B4A5F2E2B6A6F4A7A3C7D1B3C2D7D2,1.0,1.0,35.0,,,
