,num4black,num4white,0,1,2,3,4,5,6
F5,3.0,14.0,1.0,,,,,,
F5F6,3.0,14.0,2.0,,,,,,
F5F6E6,3.0,14.0,3.0,,,,,,
F5F6E6D6,3.0,14.0,4.0,,,,,,
F5F6E6D6C5,3.0,14.0,5.0,,,,,,
F5F6E6D6C5E3,3.0,14.0,6.0,,,,,,
F5F6E6D6C5E3D3,3.0,14.0,7.0,,,,,,
F5F6E6D6C5E3D3G4,3.0,14.0,8.0,,,,,,
F5F6E6D6C5E3D3G4F3,3.0,14.0,9.0,,,,,,
F5F6E6D6C5E3D3G4F3B5,3.0,14.0,10.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6,3.0,14.0,11.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4,3.0,14.0,12.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7,3.0,14.0,13.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7,3.0,14.0,14.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3,3.0,14.0,15.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2,3.0,14.0,16.0,30.0,40.0,91.0,183.0,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3,24.0,1.0,17.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4,24.0,1.0,18.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6,24.0,1.0,19.0,54.0,251.0,405.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2,14.0,1.0,20.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5,14.0,1.0,21.0,210.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2,13.0,1.0,22.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7,13.0,1.0,23.0,791.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4,7.0,1.0,24.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6,7.0,1.0,25.0,624.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6A5,1.0,4.0,26.0,306.0,1636.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6A5D8,3.0,1.0,27.0,1869.0,2147.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6A5D8F7,1.0,3.0,28.0,1911.0,2098.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6A5D8F7E8,1.0,1.0,29.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6E2G5C2C7B4G6A5D8F7E8H5,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4,7.0,2.0,31.0,113.0,219.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2,5.0,2.0,32.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5,5.0,2.0,33.0,325.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4,1.0,12.0,34.0,703.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6,1.0,10.0,35.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6H6,1.0,10.0,36.0,366.0,477.0,578.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6H6H3,3.0,1.0,37.0,1066.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6H6H3H4,2.0,1.0,38.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6H6H3H4C3,2.0,1.0,39.0,2602.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4F2G5F4G6H6H3H4C3A3,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6,7.0,2.0,41.0,65.0,78.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4,4.0,2.0,42.0,1046.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3,15.0,1.0,43.0,148.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3E2,14.0,1.0,44.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3E2G5,14.0,1.0,45.0,263.0,,,,,
