,num4black,num4white,0,1,2,3,4
F5,58.0,1.0,1.0,,,,
F5F6,58.0,1.0,2.0,,,,
F5F6E6,58.0,1.0,3.0,,,,
F5F6E6D6,58.0,1.0,4.0,,,,
F5F6E6D6C5,58.0,1.0,5.0,,,,
F5F6E6D6C5E3,58.0,1.0,6.0,,,,
F5F6E6D6C5E3D3,58.0,1.0,7.0,,,,
F5F6E6D6C5E3D3G5,58.0,1.0,8.0,,,,
F5F6E6D6C5E3D3G5F3,58.0,1.0,9.0,,,,
F5F6E6D6C5E3D3G5F3B5,58.0,1.0,10.0,,,,
F5F6E6D6C5E3D3G5F3B5C6,58.0,1.0,11.0,45.0,84.0,,
F5F6E6D6C5E3D3G5F3B5C6B6,51.0,1.0,12.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7,51.0,1.0,13.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7,51.0,1.0,14.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8,51.0,1.0,15.0,30.0,195.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4,33.0,1.0,16.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4,33.0,1.0,17.0,71.0,226.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3,26.0,1.0,18.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4,26.0,1.0,19.0,150.0,184.0,322.0,799.0
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4,19.0,1.0,20.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5,19.0,1.0,21.0,114.0,161.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7,9.0,1.0,22.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8,9.0,1.0,23.0,406.0,782.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2,3.0,2.0,24.0,64.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2,3.0,1.0,25.0,443.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6,2.0,1.0,26.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6B3,2.0,1.0,27.0,832.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6B3A2,1.0,2.0,28.0,469.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6B3A2C1,3.0,1.0,29.0,70.0,870.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6B3A2C1F8,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8,6.0,1.0,31.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8,6.0,1.0,32.0,300.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4,5.0,1.0,33.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4,5.0,1.0,34.0,139.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2,2.0,4.0,35.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3,2.0,4.0,36.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4,2.0,4.0,37.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5,2.0,4.0,38.0,239.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7,1.0,4.0,39.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8,1.0,4.0,40.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8C2,1.0,4.0,41.0,336.0,551.0,587.0,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8C2G4,4.0,1.0,42.0,333.0,1091.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8C2G4F7,2.0,1.0,43.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8C2G4F7H5,2.0,1.0,44.0,501.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C7E8C2G4F7H5G3,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6C4,5.0,1.0,46.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3,5.0,1.0,47.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4,5.0,1.0,48.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5,5.0,1.0,49.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3,5.0,1.0,50.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6,5.0,1.0,51.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3,5.0,1.0,52.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4,5.0,1.0,53.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6,5.0,1.0,54.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7,5.0,1.0,55.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4,5.0,1.0,56.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6,5.0,1.0,57.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7,5.0,1.0,58.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8,5.0,1.0,59.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8E2,5.0,1.0,60.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8E2G3,5.0,1.0,61.0,582.0,967.0,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8E2G3H6,3.0,1.0,62.0,,,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8E2G3H6C2,3.0,1.0,63.0,957.0,1011.0,,
F5F6E6D6C5E3D3G5F3B5C6C4C3B4A5A3B6B3A4A6F7F4G6E7E8E2G3H6C2C1,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3,3.0,1.0,65.0,1000.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3A3,2.0,1.0,66.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3A3C1,2.0,1.0,67.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3A3C1A2,2.0,1.0,68.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3A3C1A2G3,2.0,1.0,69.0,810.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2B3A3C1A2G3B7,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C3F4G4A5C7C8C2D2A6B3A2C1F2,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8,5.0,1.0,72.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8,5.0,1.0,73.0,353.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8D2,2.0,4.0,74.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8D2C3,2.0,4.0,75.0,,,,
