,num4black,num4white,0,1,2,3,4,5
F5,76.0,1.0,1.0,,,,,
F5F6,76.0,1.0,2.0,,,,,
F5F6E6,76.0,1.0,3.0,,,,,
F5F6E6D6,76.0,1.0,4.0,,,,,
F5F6E6D6C5,76.0,1.0,5.0,,,,,
F5F6E6D6C5E3,76.0,1.0,6.0,,,,,
F5F6E6D6C5E3D3,76.0,1.0,7.0,,,,,
F5F6E6D6C5E3D3G5,76.0,1.0,8.0,,,,,
F5F6E6D6C5E3D3G5F3,76.0,1.0,9.0,,,,,
F5F6E6D6C5E3D3G5F3B5,76.0,1.0,10.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6,76.0,1.0,11.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6,76.0,1.0,12.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7,76.0,1.0,13.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7,76.0,1.0,14.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8,76.0,1.0,15.0,40.0,65.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4,36.0,1.0,16.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4,36.0,1.0,17.0,103.0,354.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8,6.0,2.0,18.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8,6.0,2.0,19.0,1057.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3,4.0,2.0,20.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4,4.0,2.0,21.0,261.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2,3.0,2.0,22.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6,3.0,2.0,23.0,2617.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5,1.0,18.0,24.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8,1.0,18.0,25.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2,1.0,18.0,26.0,440.0,475.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5,2.0,5.0,27.0,90.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3,1.0,5.0,28.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7,1.0,5.0,29.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7,1.0,5.0,30.0,1466.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2,1.0,4.0,31.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4,1.0,4.0,32.0,432.0,2295.0,4808.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6,3.0,1.0,33.0,2170.0,3403.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8,1.0,2.0,34.0,2461.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6,1.0,1.0,35.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6E1,1.0,1.0,36.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6E1D2,1.0,1.0,37.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6E1D2D1,1.0,1.0,38.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6E1D2D1A3,1.0,1.0,39.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C4B4C8B8C3F4C2A6A5E8E2H5G3F7G7F2H4H6G8G6E1D2D1A3A4,1.0,1.0,,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8,7.0,2.0,41.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8,7.0,2.0,42.0,126.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4,6.0,2.0,43.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4,6.0,2.0,44.0,274.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2,2.0,11.0,45.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3,2.0,11.0,46.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4,2.0,11.0,47.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5,2.0,11.0,48.0,236.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7D8C8B8C4B4D2C3F4A5C2,1.0,14.0,49.0,574.0,2249.0,,,
