,num4black,num4white,0,1,2,3,4
F5,1.0,11.0,1.0,,,,
F5F6,1.0,11.0,2.0,,,,
F5F6E6,1.0,11.0,3.0,,,,
F5F6E6D6,1.0,11.0,4.0,,,,
F5F6E6D6C5,1.0,11.0,5.0,,,,
F5F6E6D6C5E3,1.0,11.0,6.0,,,,
F5F6E6D6C5E3D3,1.0,11.0,7.0,,,,
F5F6E6D6C5E3D3G5,1.0,11.0,8.0,,,,
F5F6E6D6C5E3D3G5F3,1.0,11.0,9.0,,,,
F5F6E6D6C5E3D3G5F3B5,1.0,11.0,10.0,,,,
F5F6E6D6C5E3D3G5F3B5C6,1.0,11.0,11.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6,1.0,11.0,12.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7,1.0,11.0,13.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7,1.0,11.0,14.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7,1.0,11.0,15.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4,1.0,11.0,16.0,40.0,54.0,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8,15.0,1.0,17.0,89.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2,9.0,2.0,18.0,30.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6,13.0,1.0,19.0,119.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4,9.0,1.0,20.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4,9.0,1.0,21.0,472.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8,5.0,1.0,22.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6,5.0,1.0,23.0,362.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2,2.0,1.0,24.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8,2.0,1.0,25.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8C3,2.0,1.0,26.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8C3B8,2.0,1.0,27.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8C3B8C4,2.0,1.0,28.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8C3B8C4H5,2.0,1.0,29.0,102.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2G6G4B4C8A6C2E8C3B8C4H5B3,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4,9.0,1.0,31.0,78.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7,7.0,1.0,32.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6,7.0,1.0,33.0,353.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6,3.0,1.0,34.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4,3.0,1.0,35.0,604.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4C8,1.0,3.0,36.0,558.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4C8H4,1.0,2.0,37.0,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4C8H4C2,1.0,2.0,38.0,424.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4C8H4C2C3,2.0,1.0,39.0,378.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4D8E2B4C7G6H6G4C8H4C2C3G8,1.0,1.0,,,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4C7,3.0,1.0,41.0,143.0,,,
F5F6E6D6C5E3D3G5F3B5C6B6E7D7F7F4C7C3,2.0,1.0,42.0,,,,
