,num4black,num4white,0,1,2,3,4,5
F5,8.0,1.0,1.0,,,,,
F5F6,8.0,1.0,2.0,,,,,
F5F6E6,8.0,1.0,3.0,,,,,
F5F6E6D6,8.0,1.0,4.0,,,,,
F5F6E6D6C5,8.0,1.0,5.0,,,,,
F5F6E6D6C5F4,8.0,1.0,6.0,,,,,
F5F6E6D6C5F4D7,8.0,1.0,7.0,,,,,
F5F6E6D6C5F4D7C4,8.0,1.0,8.0,,,,,
F5F6E6D6C5F4D7C4C3,8.0,1.0,9.0,,,,,
F5F6E6D6C5F4D7C4C3C8,8.0,1.0,10.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3,8.0,1.0,11.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7,8.0,1.0,12.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7,8.0,1.0,13.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8,8.0,1.0,14.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7,8.0,1.0,15.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6,8.0,1.0,16.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8,8.0,1.0,17.0,255.0,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8,7.0,1.0,18.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8,7.0,1.0,19.0,134.0,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5,2.0,5.0,20.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4,2.0,5.0,21.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3,2.0,5.0,22.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3,2.0,5.0,23.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3,2.0,5.0,24.0,43.0,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6,2.0,1.0,25.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6,2.0,1.0,26.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7,2.0,1.0,27.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2,2.0,1.0,28.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2,2.0,1.0,29.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2,2.0,1.0,30.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1,2.0,1.0,31.0,37.0,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1,1.0,1.0,32.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1B7,1.0,1.0,33.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1B7B1,1.0,1.0,34.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1B7B1C1,1.0,1.0,35.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1B7B1C1A8,1.0,1.0,36.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1E1B7B1C1A8A1,1.0,1.0,,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3,1.0,1.0,38.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3F1,1.0,1.0,39.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3F1C1,1.0,1.0,40.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3F1C1A5,1.0,1.0,41.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3F1C1A5A4,1.0,1.0,42.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3A6B6A7E2C2D2D1F3F1C1A5A4A2,1.0,1.0,,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3,2.0,4.0,44.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2,2.0,4.0,45.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2,2.0,4.0,46.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4,2.0,4.0,47.0,62.0,79.0,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6,4.0,1.0,48.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3,4.0,1.0,49.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6,4.0,1.0,50.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6C2,4.0,1.0,51.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6C2G5,4.0,1.0,52.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6C2G5H4,4.0,1.0,53.0,,,,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6C2G5H4D1,4.0,1.0,54.0,56.0,58.0,60.0,,
F5F6E6D6C5F4D7C4C3C8D3C7E7D8F7C6F8E8B8B5B4A3E3B3G3E2D2G4G6F3B6C2G5H4D1C1,1.0,1.0,55.0,,,,,
