,num4black,num4white,0,1,2,3,4
F5,1.0,10.0,1.0,,,,
F5F6,1.0,10.0,2.0,,,,
F5F6E6,1.0,10.0,3.0,,,,
F5F6E6D6,1.0,10.0,4.0,,,,
F5F6E6D6C7,1.0,10.0,5.0,,,,
F5F6E6D6C7F4,1.0,10.0,6.0,216.0,,,
F5F6E6D6C7F4C5,2.0,8.0,7.0,22.0,,,
F5F6E6D6C7F4C5D7,1.0,8.0,8.0,252.0,,,
F5F6E6D6C7F4C5D7E3,2.0,7.0,9.0,,,,
F5F6E6D6C7F4C5D7E3F3,2.0,7.0,10.0,,,,
F5F6E6D6C7F4C5D7E3F3G4,2.0,7.0,11.0,,,,
F5F6E6D6C7F4C5D7E3F3G4E2,2.0,7.0,12.0,,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5,2.0,7.0,13.0,45.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3,1.0,8.0,14.0,98.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3,1.0,3.0,15.0,,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6,1.0,3.0,16.0,208.0,500.0,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2,2.0,1.0,17.0,82.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2B5,1.0,2.0,18.0,373.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2B5C4,2.0,1.0,19.0,243.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2B5C4B6,1.0,2.0,20.0,149.0,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2B5C4B6D8,1.0,1.0,21.0,,,,
F5F6E6D6C7F4C5D7E3F3G4E2G5G3D3C6F2B5C4B6D8B4,1.0,1.0,,,,,
F5F6E6D6C7F4C5C6,1.0,15.0,23.0,,,,
F5F6E6D6C7F4C5C6E3,1.0,15.0,24.0,,,,
F5F6E6D6C7F4C5C6E3B4,1.0,15.0,25.0,54.0,182.0,223.0,440.0
F5F6E6D6C7F4C5C6E3B4C4,8.0,1.0,26.0,112.0,,,
F5F6E6D6C7F4C5C6E3B4C4C3,6.0,1.0,27.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7,6.0,1.0,28.0,389.0,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3,5.0,1.0,29.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3,5.0,1.0,30.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3D2,5.0,1.0,31.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3D2F2,5.0,1.0,32.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3D2F2B5,5.0,1.0,33.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3D2F2B5B6,5.0,1.0,34.0,,,,
F5F6E6D6C7F4C5C6E3B4C4C3E7D3F3D2F2B5B6F7,5.0,1.0,35.0,,,,
