,num4black,num4white,0,1,2,3,4
F5,20.0,1.0,1.0,,,,
F5F6,20.0,1.0,2.0,,,,
F5F6E6,20.0,1.0,3.0,,,,
F5F6E6D6,20.0,1.0,4.0,,,,
F5F6E6D6E7,20.0,1.0,5.0,,,,
F5F6E6D6E7F4,20.0,1.0,6.0,,,,
F5F6E6D6E7F4G5,20.0,1.0,7.0,32.0,,,
F5F6E6D6E7F4G5F7,10.0,1.0,8.0,,,,
F5F6E6D6E7F4G5F7E3,10.0,1.0,9.0,,,,
F5F6E6D6E7F4G5F7E3D3,10.0,1.0,10.0,,,,
F5F6E6D6E7F4G5F7E3D3C6,10.0,1.0,11.0,66.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8,7.0,1.0,12.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6,7.0,1.0,13.0,85.0,382.0,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7,5.0,1.0,14.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8,5.0,1.0,15.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8,5.0,1.0,16.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4,5.0,1.0,17.0,286.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3,4.0,1.0,18.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5,4.0,1.0,19.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4,4.0,1.0,20.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7,4.0,1.0,21.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6,4.0,1.0,22.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6,4.0,1.0,23.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3,4.0,1.0,24.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4,4.0,1.0,25.0,563.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5,3.0,1.0,26.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4,3.0,1.0,27.0,1442.0,1732.0,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4H6,1.0,2.0,28.0,30.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4H6H4,3.0,1.0,29.0,690.0,2116.0,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4H6H4H5,1.0,1.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4H6D8,1.0,1.0,31.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4H6D8C8,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6,10.0,1.0,33.0,,,,
F5F6E6D6E7F4G5G6C5,10.0,1.0,34.0,,,,
F5F6E6D6E7F4G5G6C5C4,10.0,1.0,35.0,,,,
F5F6E6D6E7F4G5G6C5C4F3,10.0,1.0,36.0,176.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5,7.0,1.0,37.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7,7.0,1.0,38.0,119.0,335.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3,1.0,20.0,39.0,50.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3,2.0,6.0,40.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7,2.0,6.0,41.0,427.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3,2.0,3.0,42.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2,2.0,3.0,43.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6,2.0,3.0,44.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8,2.0,3.0,45.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8H3,2.0,3.0,46.0,247.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8H3E8,1.0,3.0,47.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8H3E8G4,1.0,3.0,48.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8H3E8G4D3,1.0,3.0,49.0,967.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3E3C7C3F2C6F8H3E8G4D3D2,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7,1.0,14.0,51.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3,1.0,14.0,52.0,367.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6,2.0,7.0,53.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7,2.0,7.0,54.0,150.0,323.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2,3.0,1.0,55.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3,3.0,1.0,56.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3,3.0,1.0,57.0,1556.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4,1.0,7.0,58.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2,1.0,7.0,59.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1,1.0,7.0,60.0,414.0,508.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1,1.0,3.0,61.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1C2,1.0,3.0,62.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1C2B5,1.0,3.0,63.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1C2B5F1,1.0,3.0,64.0,1233.0,2114.0,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1C2B5F1A3,2.0,1.0,65.0,2200.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7E2D3C3B4D2D1E1C2B5F1A3A4,1.0,1.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6H4,3.0,6.0,67.0,214.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6,4.0,5.0,68.0,102.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8,1.0,5.0,69.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6,1.0,5.0,70.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7,1.0,5.0,71.0,136.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8,1.0,4.0,72.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8,1.0,4.0,73.0,1235.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4,1.0,3.0,74.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3,1.0,3.0,75.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5,1.0,3.0,76.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4,1.0,3.0,77.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7,1.0,3.0,78.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6,1.0,3.0,79.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6,1.0,3.0,80.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6B3,1.0,3.0,81.0,1518.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6B3D8,1.0,1.0,82.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6B3D8C8,1.0,1.0,83.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6B3D8C8G3,1.0,1.0,84.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F8G8C4C3C5G4C7B6A6B3D8C8G3H3,1.0,1.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7,1.0,20.0,86.0,450.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4,1.0,14.0,87.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5,1.0,14.0,88.0,264.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4,1.0,7.0,89.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3,1.0,7.0,90.0,1313.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2,2.0,3.0,91.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6,2.0,3.0,92.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8,2.0,3.0,93.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8,2.0,3.0,94.0,256.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8,4.0,1.0,95.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8,4.0,1.0,96.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7,4.0,1.0,97.0,377.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7H3,2.0,1.0,98.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7H3G3,2.0,1.0,99.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7H3G3F2,2.0,1.0,100.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7H3G3F2E2,2.0,1.0,101.0,995.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6C7G4C5C4C3D2H6F8G8D8C8D7H3G3F2E2F3,1.0,1.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4,3.0,5.0,103.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6,3.0,5.0,104.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3,3.0,5.0,105.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3,3.0,5.0,106.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5,3.0,5.0,107.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3,3.0,5.0,108.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8,3.0,5.0,109.0,601.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7,4.0,2.0,110.0,667.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5,2.0,3.0,111.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7,2.0,3.0,112.0,352.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6,1.0,8.0,113.0,575.0,641.0,703.0,747.0
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2,6.0,1.0,114.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2D2,6.0,1.0,115.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2D2F8,6.0,1.0,116.0,1445.0,1783.0,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2D2F8E1,3.0,1.0,117.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2D2F8E1C4,3.0,1.0,118.0,1083.0,2022.0,,
F5F6E6D6E7F4G5F7E3D3C6H4H6G4G6F3H3H5G3E8D7C5C7B6E2D2F8E1C4G8,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3,1.0,14.0,120.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7,1.0,14.0,121.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3,1.0,14.0,122.0,162.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3,1.0,7.0,123.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3,1.0,7.0,124.0,753.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4,2.0,3.0,125.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8,2.0,3.0,126.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6,2.0,3.0,127.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7,2.0,3.0,128.0,315.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4,4.0,1.0,129.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3,4.0,1.0,130.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4,4.0,1.0,131.0,1620.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4C8,2.0,1.0,132.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4C8C7,2.0,1.0,133.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4C8C7B6,2.0,1.0,134.0,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4C8C7B6B5,2.0,1.0,135.0,195.0,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7E3D7G3D3C3B4F8H6H7H4H3G4C8C7B6B5C6,1.0,1.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3,4.0,1.0,137.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5,4.0,1.0,138.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8,4.0,1.0,139.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8,4.0,1.0,140.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7,4.0,1.0,141.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6,4.0,1.0,142.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8,4.0,1.0,143.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8,4.0,1.0,144.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2,4.0,1.0,145.0,866.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2G4,3.0,1.0,146.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2G4G3,3.0,1.0,147.0,2161.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2G4G3D2,2.0,1.0,148.0,,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2G4G3D2C1,2.0,1.0,149.0,1782.0,,,
F5F6E6D6E7F4G5F7E3D3C6H4H6E8G6D7F3C5F8G8C7B6D8C8C2G4G3D2C1D1,1.0,1.0,,,,,
F5F6E6D6E7F4G5G6C5C4F3H5F7G3D7E3H6H7H4,3.0,4.0,151.0,,,,
