,num4black,num4white,0,1,2,3,4,5
F5,6.0,2.0,1.0,,,,,
F5F6,6.0,2.0,2.0,,,,,
F5F6E6,6.0,2.0,3.0,,,,,
F5F6E6D6,6.0,2.0,4.0,,,,,
F5F6E6D6E7,6.0,2.0,5.0,,,,,
F5F6E6D6E7F4,6.0,2.0,6.0,,,,,
F5F6E6D6E7F4G5,6.0,2.0,7.0,,,,,
F5F6E6D6E7F4G5F7,6.0,2.0,8.0,,,,,
F5F6E6D6E7F4G5F7E3,6.0,2.0,9.0,,,,,
F5F6E6D6E7F4G5F7E3D3,6.0,2.0,10.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6,6.0,2.0,11.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8,6.0,2.0,12.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6,6.0,2.0,13.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7,6.0,2.0,14.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8,6.0,2.0,15.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8,6.0,2.0,16.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4,6.0,2.0,17.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3,6.0,2.0,18.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5,6.0,2.0,19.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4,6.0,2.0,20.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7,6.0,2.0,21.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6,6.0,2.0,22.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6,6.0,2.0,23.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3,6.0,2.0,24.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4,6.0,2.0,25.0,869.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5,4.0,2.0,26.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4,4.0,2.0,27.0,89.0,555.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3,2.0,2.0,28.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8,2.0,2.0,29.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8,2.0,2.0,30.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2,2.0,2.0,31.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7,2.0,2.0,32.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5,2.0,2.0,33.0,48.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6,1.0,2.0,34.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4,1.0,2.0,35.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3,1.0,2.0,36.0,43.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2,2.0,1.0,37.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3,2.0,1.0,38.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3F3,2.0,1.0,39.0,41.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3F3H5,1.0,1.0,40.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3F3H5H7,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3F3G2,1.0,1.0,42.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3H2G3F3G2C2,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3G3,1.0,1.0,44.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3G3H5,1.0,1.0,45.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3G3H5C2,1.0,1.0,46.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3G3H5C2B2,1.0,1.0,47.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5H6H4H3G3H5C2B2H7,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2,1.0,5.0,49.0,66.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7,1.0,3.0,50.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1,1.0,3.0,51.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2,1.0,3.0,52.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1,1.0,3.0,53.0,60.0,63.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4,3.0,1.0,54.0,56.0,58.0,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4F2,1.0,1.0,55.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4F2F3,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4G7,1.0,1.0,57.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4G7B1,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4H3,1.0,1.0,59.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1H4H3D1,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1D1,1.0,1.0,61.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1D1E1,1.0,1.0,62.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1D1E1B1,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1B1,1.0,1.0,64.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1B1D1,1.0,1.0,65.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2B7F1C2C1B1D1E1,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4,2.0,2.0,67.0,78.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1,1.0,2.0,68.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1,1.0,2.0,69.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1E1,1.0,2.0,70.0,73.0,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1E1C2,1.0,1.0,71.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1E1C2D1,1.0,1.0,72.0,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1E1C2D1G1,1.0,1.0,,,,,,
F5F6E6D6E7F4G5F7E3D3C6E8G6D7F8G8C4C3C5G4C7B6A6B3B4A5A4A3D8C8E2A7B5D2H4F1C1E1B7,2.0,1.0,74.0,76.0,,,,
