,num4black,num4white,0,1,2,3,4,5
F5,8.0,5.0,1.0,,,,,
F5F6,8.0,5.0,2.0,,,,,
F5F6E6,8.0,5.0,3.0,,,,,
F5F6E6D6,8.0,5.0,4.0,,,,,
F5F6E6D6E7,8.0,5.0,5.0,,,,,
F5F6E6D6E7F7,8.0,5.0,6.0,30.0,,,,
F5F6E6D6E7F7G5,15.0,1.0,7.0,135.0,158.0,,,
F5F6E6D6E7F7G5F4,10.0,1.0,8.0,,,,,
F5F6E6D6E7F7G5F4E3,10.0,1.0,9.0,,,,,
F5F6E6D6E7F7G5F4E3D3,10.0,1.0,10.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6,10.0,1.0,11.0,96.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8,7.0,1.0,12.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6,7.0,1.0,13.0,115.0,594.0,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7,1.0,20.0,14.0,1130.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4,1.0,14.0,15.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5,1.0,14.0,16.0,613.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8,2.0,7.0,17.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8,2.0,7.0,18.0,353.0,564.0,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4,2.0,2.0,19.0,71.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6,1.0,2.0,20.0,2571.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8,4.0,1.0,21.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8,4.0,1.0,22.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7,4.0,1.0,23.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3,4.0,1.0,24.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2,4.0,1.0,25.0,1213.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2H3,2.0,1.0,26.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2H3G3,2.0,1.0,27.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2H3G3F2,2.0,1.0,28.0,,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2H3G3F2E2,2.0,1.0,29.0,2042.0,,,,
F5F6E6D6E7F7G5F4E3D3C6E8G6C7G4C5F8G8C4H6D8C8D7C3D2H3G3F2E2H5,1.0,1.0,,,,,,
F5F6E6D6E7F7D7,8.0,4.0,31.0,48.0,,,,
F5F6E6D6E7F7D7G5,1.0,16.0,32.0,,,,,
F5F6E6D6E7F7D7G5C6,1.0,16.0,33.0,,,,,
F5F6E6D6E7F7D7G5C6E8,1.0,16.0,34.0,181.0,,,,
F5F6E6D6E7F7D7G5C6E8F4,1.0,15.0,35.0,,,,,
F5F6E6D6E7F7D7G5C6E8F4F3,1.0,15.0,36.0,78.0,195.0,1173.0,1435.0,
F5F6E6D6E7F7D7G5C6E8F4F3G6,1.0,3.0,37.0,,,,,
F5F6E6D6E7F7D7G5C6E8F4F3G6E3,1.0,3.0,38.0,231.0,,,,
F5F6E6D6E7F7D7G5C6E8F4F3G6E3D8,1.0,2.0,39.0,,,,,
