,num4black,num4white,0,1,2,3
F5,1.0,7.0,1.0,,,
F5F6,1.0,7.0,2.0,,,
F5F6E6,1.0,7.0,3.0,,,
F5F6E6D6,1.0,7.0,4.0,,,
F5F6E6D6E7,1.0,7.0,5.0,,,
F5F6E6D6E7G5,1.0,7.0,6.0,,,
F5F6E6D6E7G5C5,1.0,7.0,7.0,,,
F5F6E6D6E7G5C5C6,1.0,7.0,8.0,,,
F5F6E6D6E7G5C5C6C4,1.0,7.0,9.0,,,
F5F6E6D6E7G5C5C6C4F8,1.0,7.0,10.0,30.0,,
F5F6E6D6E7G5C5C6C4F8C7,1.0,6.0,11.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3,1.0,6.0,12.0,50.0,,
F5F6E6D6E7G5C5C6C4F8C7F3F4,3.0,3.0,13.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7,3.0,3.0,14.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8,3.0,3.0,15.0,95.0,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3,2.0,3.0,16.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7,2.0,3.0,17.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3,2.0,3.0,18.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3,2.0,3.0,19.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5,2.0,3.0,20.0,68.0,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5B4,2.0,2.0,21.0,82.0,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5B4D2,1.0,2.0,22.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5B4D2A5,1.0,2.0,23.0,,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5B4D2A5E8,1.0,2.0,24.0,151.0,,
F5F6E6D6E7G5C5C6C4F8C7F3F4D7D8E3F7C3D3B5B4D2A5E8G8,1.0,1.0,25.0,,,
