,num4black,num4white,0,1,2,3,4
F5,22.0,1.0,1.0,,,,
F5F6,22.0,1.0,2.0,,,,
F5F6E6,22.0,1.0,3.0,,,,
F5F6E6D6,22.0,1.0,4.0,,,,
F5F6E6D6E7,22.0,1.0,5.0,,,,
F5F6E6D6E7G5,22.0,1.0,6.0,,,,
F5F6E6D6E7G5C5,22.0,1.0,7.0,,,,
F5F6E6D6E7G5C5C6,22.0,1.0,8.0,,,,
F5F6E6D6E7G5C5C6E3,22.0,1.0,9.0,,,,
F5F6E6D6E7G5C5C6E3B5,22.0,1.0,10.0,,,,
F5F6E6D6E7G5C5C6E3B5D7,22.0,1.0,11.0,30.0,82.0,,
F5F6E6D6E7G5C5C6E3B5D7C4,8.0,1.0,12.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4,8.0,1.0,13.0,137.0,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3,4.0,1.0,14.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6,4.0,1.0,15.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7,4.0,1.0,16.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3,4.0,1.0,17.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4,4.0,1.0,18.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5,4.0,1.0,19.0,445.0,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2,3.0,2.0,20.0,183.0,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6,7.0,1.0,21.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3,7.0,1.0,22.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3,7.0,1.0,23.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8,7.0,1.0,24.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4,7.0,1.0,25.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4,7.0,1.0,26.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8,7.0,1.0,27.0,74.0,265.0,470.0,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8B8,4.0,1.0,28.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8B8F2,4.0,1.0,29.0,193.0,397.0,430.0,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8B8F2A5,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8,10.0,2.0,31.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8,10.0,2.0,32.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4,10.0,2.0,33.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4,10.0,2.0,34.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8,10.0,2.0,35.0,55.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5,12.0,1.0,36.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3,12.0,1.0,37.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3,12.0,1.0,38.0,106.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3,11.0,1.0,39.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4,11.0,1.0,40.0,398.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3,10.0,1.0,41.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2,10.0,1.0,42.0,176.0,218.0,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2,4.0,4.0,43.0,49.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7,4.0,2.0,44.0,273.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7H6,3.0,2.0,45.0,213.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7H6H4,3.0,1.0,46.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7H6H4H3,3.0,1.0,47.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7H6H4H3G6,3.0,1.0,48.0,355.0,393.0,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2F7H6H4H3G6E1,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7,5.0,2.0,50.0,69.0,77.0,101.0,198.0
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7E1,1.0,2.0,51.0,334.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7E1F2,1.0,1.0,52.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7E1F2H3,1.0,1.0,53.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7E1F2H3C8,1.0,1.0,54.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7E1F2H3C8H4,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7,10.0,1.0,56.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6,10.0,1.0,57.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5,10.0,1.0,58.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4,10.0,1.0,59.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8,10.0,1.0,60.0,121.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8,9.0,1.0,61.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7,9.0,1.0,62.0,348.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3,6.0,1.0,63.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3,6.0,1.0,64.0,243.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3D2,2.0,1.0,65.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3D2B4,2.0,1.0,66.0,375.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3D2B4A5,1.0,3.0,67.0,278.0,443.0,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3D2B4A5H6,2.0,1.0,68.0,306.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8F7G6H5C4C8B8C7C3D3D2B4A5H6B6,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H4,1.0,6.0,70.0,206.0,261.0,343.0,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H4E1,3.0,1.0,71.0,134.0,240.0,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H4E1F1,1.0,1.0,72.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H4E1F1D1,1.0,1.0,73.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H4E1F1D1H6,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8C7,1.0,1.0,75.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8C7F8,1.0,1.0,76.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C4F4F3G6F7D3G4H5E2B6C3H3D8A4B4C8C7F8G7,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7B4,1.0,2.0,78.0,462.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7B4C8,2.0,1.0,79.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7B4C8B8,2.0,1.0,80.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7B4C8B8C1,2.0,1.0,81.0,481.0,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7B4C8B8C1H3,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7C7,4.0,1.0,83.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7,4.0,1.0,84.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8,4.0,1.0,85.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8,4.0,1.0,86.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4,4.0,1.0,87.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4,4.0,1.0,88.0,154.0,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3,1.0,5.0,89.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4,1.0,5.0,90.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8,1.0,5.0,91.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3,1.0,5.0,92.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5,1.0,5.0,93.0,483.0,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3,1.0,4.0,94.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3,1.0,4.0,95.0,310.0,320.0,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3,2.0,2.0,96.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3D2,2.0,2.0,97.0,371.0,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3D2B6,3.0,1.0,98.0,197.0,271.0,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3D2B6F2,1.0,2.0,99.0,269.0,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3D2B6F2A4,1.0,1.0,100.0,,,,
F5F6E6D6E7G5C5C6E3B5D7C7F7C8D8C4G4F3F4E8B3H5G3C3H3D2B6F2A4A3,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H6,1.0,5.0,102.0,130.0,389.0,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H6F2,1.0,3.0,103.0,,,,
F5F6E6D6E7G5C5C6E3B5D7F8E8F4G4D8H5D3C3F3C4G3E2D2C7H6F2H4,1.0,3.0,104.0,238.0,369.0,,
