,num4black,num4white,0,1,2,3,4
F5,10.0,3.0,1.0,,,,
F5F6,10.0,3.0,2.0,,,,
F5F6E6,10.0,3.0,3.0,,,,
F5F6E6D6,10.0,3.0,4.0,,,,
F5F6E6D6E7,10.0,3.0,5.0,,,,
F5F6E6D6E7G5,10.0,3.0,6.0,,,,
F5F6E6D6E7G5C5,10.0,3.0,7.0,,,,
F5F6E6D6E7G5C5C6,10.0,3.0,8.0,,,,
F5F6E6D6E7G5C5C6E3,10.0,3.0,9.0,,,,
F5F6E6D6E7G5C5C6E3C4,10.0,3.0,10.0,,,,
F5F6E6D6E7G5C5C6E3C4D7,10.0,3.0,11.0,30.0,,,
F5F6E6D6E7G5C5C6E3C4D7C7,6.0,3.0,12.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7,6.0,3.0,13.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3,6.0,3.0,14.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3,6.0,3.0,15.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4,6.0,3.0,16.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6,6.0,3.0,17.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2,6.0,3.0,18.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2,6.0,3.0,19.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3,6.0,3.0,20.0,362.0,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4,6.0,2.0,21.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8,6.0,2.0,22.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4,6.0,2.0,23.0,164.0,297.0,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8,4.0,3.0,24.0,95.0,225.0,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2,6.0,1.0,25.0,64.0,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2H6,3.0,1.0,26.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2H6H5,3.0,1.0,27.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2H6H5H3,3.0,1.0,28.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2H6H5H3C2,3.0,1.0,29.0,377.0,720.0,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2H6H5H3C2F8,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3C4D7F8,4.0,5.0,31.0,69.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3,6.0,3.0,32.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3,6.0,3.0,33.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4,6.0,3.0,34.0,49.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3,1.0,4.0,35.0,192.0,426.0,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4,2.0,1.0,36.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2,2.0,1.0,37.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2,2.0,1.0,38.0,566.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4,1.0,1.0,39.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6,1.0,1.0,40.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7,1.0,1.0,41.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6,1.0,1.0,42.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8,1.0,1.0,43.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1,1.0,1.0,44.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1H5,1.0,1.0,45.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1H5H3,1.0,1.0,46.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1H5H3D3,1.0,1.0,47.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1H5H3D3C3,1.0,1.0,48.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4G3G4D2E2H4G6F7H6C8C1H5H3D3C3B4,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2,5.0,3.0,50.0,101.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5,5.0,2.0,51.0,115.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3,3.0,2.0,52.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7,3.0,2.0,53.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3,3.0,2.0,54.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4,3.0,2.0,55.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6,3.0,2.0,56.0,147.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2,3.0,1.0,57.0,275.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4,1.0,9.0,58.0,330.0,338.0,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8,1.0,5.0,59.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8F7,1.0,5.0,60.0,326.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8F7A5,1.0,2.0,61.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8F7A5D8,1.0,2.0,62.0,773.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8F7A5D8C2,3.0,1.0,63.0,337.0,348.0,,
F5F6E6D6E7G5C5C6E3C4D7F8B3F3F4E2B5D3C7C3B4B6F2G4E8F7A5D8C2C1,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2D1,3.0,2.0,65.0,160.0,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2D1C1,3.0,1.0,66.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2D1C1G3,3.0,1.0,67.0,,,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2D1C1G3B3,3.0,1.0,68.0,645.0,818.0,,
F5F6E6D6E7G5C5C6E3C4D7C7F7C3D3F4G6F2E2F3H4D8G4E8D2D1C1G3B3B4,1.0,1.0,,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B4,4.0,2.0,70.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B4F3,4.0,2.0,71.0,,,,
F5F6E6D6E7G5C5C6E3C4D7F8B4F3F4,4.0,2.0,72.0,254.0,,,
F5F6E6D6E7G5C5C6E3C4D7F8B4F3F4E2,3.0,2.0,73.0,133.0,,,
