,num4black,num4white,0,1
F5,1.0,5.0,1.0,
F5F6,1.0,5.0,2.0,
F5F6E6,1.0,5.0,3.0,
F5F6E6D6,1.0,5.0,4.0,
F5F6E6D6E7,1.0,5.0,5.0,
F5F6E6D6E7G5,1.0,5.0,6.0,
F5F6E6D6E7G5C5,1.0,5.0,7.0,
F5F6E6D6E7G5C5C6,1.0,5.0,8.0,
F5F6E6D6E7G5C5C6E3,1.0,5.0,9.0,
F5F6E6D6E7G5C5C6E3D3,1.0,5.0,10.0,
F5F6E6D6E7G5C5C6E3D3C7,1.0,5.0,11.0,
F5F6E6D6E7G5C5C6E3D3C7F8,1.0,5.0,12.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3,1.0,5.0,13.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2,1.0,5.0,14.0,30.0
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7,1.0,4.0,15.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4,1.0,4.0,16.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5,1.0,4.0,17.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8,1.0,4.0,18.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4,1.0,4.0,19.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3,1.0,4.0,20.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2,1.0,4.0,21.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1,1.0,4.0,22.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4,1.0,4.0,23.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5,1.0,4.0,24.0,62.0
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4,1.0,2.0,25.0,
F5F6E6D6E7G5C5C6E3D3C7F8C3F2D7C4B5C8F4F3E2E1G4H5H4H3,1.0,2.0,26.0,76.0
