,num4black,num4white,0,1,2,3
F5,6.0,4.0,1.0,,,
F5F6,6.0,4.0,2.0,,,
F5F6E6,6.0,4.0,3.0,,,
F5F6E6D6,6.0,4.0,4.0,,,
F5F6E6D6E7,6.0,4.0,5.0,,,
F5F6E6D6E7G5,6.0,4.0,6.0,,,
F5F6E6D6E7G5C5,6.0,4.0,7.0,,,
F5F6E6D6E7G5C5C6,6.0,4.0,8.0,,,
F5F6E6D6E7G5C5C6E3,6.0,4.0,9.0,,,
F5F6E6D6E7G5C5C6E3E8,6.0,4.0,10.0,30.0,,
F5F6E6D6E7G5C5C6E3E8D7,14.0,1.0,11.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4,14.0,1.0,12.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4,14.0,1.0,13.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4,14.0,1.0,14.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5,14.0,1.0,15.0,84.0,127.0,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3,6.0,1.0,16.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6,6.0,1.0,17.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7,6.0,1.0,18.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3,6.0,1.0,19.0,50.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8,3.0,2.0,20.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5,3.0,2.0,21.0,261.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4,2.0,2.0,22.0,227.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7,2.0,1.0,23.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2,2.0,1.0,24.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2,2.0,1.0,25.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2G3,2.0,1.0,26.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2G3H2,2.0,1.0,27.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2G3H2B6,2.0,1.0,28.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2G3H2B6F1,2.0,1.0,29.0,332.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3D8B5A4C7E2D2G3H2B6F1C4,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8C7,6.0,3.0,31.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3,6.0,3.0,32.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7,6.0,3.0,33.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2,6.0,3.0,34.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4,6.0,3.0,35.0,69.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3,5.0,3.0,36.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4,5.0,3.0,37.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6,5.0,3.0,38.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8,5.0,3.0,39.0,142.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8,3.0,3.0,40.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8,3.0,3.0,41.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8,3.0,3.0,42.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2,3.0,3.0,43.0,61.0,186.0,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3,1.0,3.0,44.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7,1.0,3.0,45.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1,1.0,3.0,46.0,364.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6,1.0,2.0,47.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6H5,1.0,2.0,48.0,99.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6H5H2,2.0,1.0,49.0,319.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6H5H2B4,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2,3.0,1.0,51.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8,3.0,1.0,52.0,280.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2,1.0,3.0,53.0,356.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4,1.0,2.0,54.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8,1.0,2.0,55.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8,1.0,2.0,56.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8,1.0,2.0,57.0,292.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8A4,2.0,1.0,58.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8A4B5,2.0,1.0,59.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8A4B5E1,2.0,1.0,60.0,68.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8A4B5E1F2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1,1.0,3.0,62.0,221.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3,8.0,1.0,63.0,270.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3C3,7.0,1.0,64.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3C3F7,7.0,1.0,65.0,124.0,175.0,209.0
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3C3F7B5,1.0,1.0,66.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3C3F7B5H4,1.0,1.0,67.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2C1G3C3F7B5H4H6,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5F3G6F7D3E2F8C2C4G8D8C8A4B5E1D2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4,1.0,3.0,70.0,246.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2,3.0,2.0,71.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4,3.0,2.0,72.0,101.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6,6.0,1.0,73.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7,6.0,1.0,74.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5,6.0,1.0,75.0,212.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3,3.0,1.0,76.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3,3.0,1.0,77.0,113.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1,2.0,1.0,78.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2,2.0,1.0,79.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2D8,2.0,1.0,80.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2D8G3,2.0,1.0,81.0,277.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2D8G3B3,1.0,2.0,82.0,316.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2D8G3B3G4,2.0,1.0,83.0,291.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4G6F7B5C3D3E1C2D8G3B3G4C8,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2,7.0,1.0,85.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3,7.0,1.0,86.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4,7.0,1.0,87.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7,7.0,1.0,88.0,153.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3,1.0,2.0,89.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6,1.0,2.0,90.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7,1.0,2.0,91.0,300.0,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8,1.0,1.0,92.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8,1.0,1.0,93.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8,1.0,1.0,94.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8H3,1.0,1.0,95.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8H3H4,1.0,1.0,96.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8H3H4G3,1.0,1.0,97.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8H3H4G3B5,1.0,1.0,98.0,,,
F5F6E6D6E7G5C5C6E3E8D7B4G4F4H5E2F3C4C7D3G6F7D8F8G8H3H4G3B5H6,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6H5F2,1.0,1.0,100.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4D3G4G6F8C8D8G8D2G3F7C1H6H5F2C3,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5,3.0,1.0,102.0,336.0,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5D3,1.0,3.0,103.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5D3C3,1.0,3.0,104.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5D3C3A6,1.0,3.0,105.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5D3C3A6G3,1.0,3.0,106.0,,,
F5F6E6D6E7G5C5C6E3E8C7F3D7E2F4C4D2B4B5D3C3A6G3F2,1.0,3.0,107.0,,,
