,num4black,num4white,0,1,2,3
F5,2.0,10.0,1.0,,,
F5F6,2.0,10.0,2.0,,,
F5F6E6,2.0,10.0,3.0,,,
F5F6E6D6,2.0,10.0,4.0,,,
F5F6E6D6E7,2.0,10.0,5.0,,,
F5F6E6D6E7G5,2.0,10.0,6.0,,,
F5F6E6D6E7G5C5,2.0,10.0,7.0,,,
F5F6E6D6E7G5C5C6,2.0,10.0,8.0,,,
F5F6E6D6E7G5C5C6E3,2.0,10.0,9.0,,,
F5F6E6D6E7G5C5C6E3F8,2.0,10.0,10.0,,,
F5F6E6D6E7G5C5C6E3F8D7,2.0,10.0,11.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3,2.0,10.0,12.0,30.0,54.0,
F5F6E6D6E7G5C5C6E3F8D7F3F4,2.0,4.0,13.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8,2.0,4.0,14.0,97.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3,10.0,1.0,15.0,156.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4,5.0,1.0,16.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5,5.0,1.0,17.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3,5.0,1.0,18.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3,5.0,1.0,19.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7,5.0,1.0,20.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3,5.0,1.0,21.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4,5.0,1.0,22.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6,5.0,1.0,23.0,389.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4,2.0,3.0,24.0,48.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7,7.0,1.0,25.0,191.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4,5.0,1.0,26.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4,5.0,1.0,27.0,373.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4D2,1.0,2.0,28.0,113.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4D2H5,1.0,1.0,29.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4D2H5C2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5,3.0,3.0,31.0,80.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3,1.0,3.0,32.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4,1.0,3.0,33.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8,1.0,3.0,34.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4,1.0,3.0,35.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2,1.0,3.0,36.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2,1.0,3.0,37.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3,1.0,3.0,38.0,335.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1,2.0,1.0,39.0,289.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3,1.0,3.0,40.0,72.0,447.0,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2,3.0,1.0,41.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7,3.0,1.0,42.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3,3.0,1.0,43.0,214.0,278.0,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3A5,1.0,1.0,44.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3A5A4,1.0,1.0,45.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3A5A4B4,1.0,1.0,46.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3A5A4B4A6,1.0,1.0,47.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3C2C7A3A5A4B4A6B6,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7,2.0,2.0,49.0,130.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7F2,1.0,2.0,50.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7F2E2,1.0,2.0,51.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7F2E2F7,1.0,2.0,52.0,400.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7F2E2F7E1,1.0,1.0,53.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7F2E2F7E1H5,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7,2.0,3.0,55.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8,2.0,3.0,56.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4,2.0,3.0,57.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2,2.0,3.0,58.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6,2.0,3.0,59.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3,2.0,3.0,60.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7,2.0,3.0,61.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3,2.0,3.0,62.0,196.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4,2.0,2.0,63.0,135.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8,1.0,2.0,64.0,206.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4,3.0,1.0,65.0,352.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5,1.0,7.0,66.0,283.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4,1.0,4.0,67.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4C4,1.0,4.0,68.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4C4D3,1.0,4.0,69.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4C4D3G8,1.0,4.0,70.0,264.0,463.0,514.0
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4C4D3G8E1,3.0,1.0,71.0,432.0,437.0,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B8G4B5B4C4D3G8E1D2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4,1.0,1.0,73.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2,1.0,1.0,74.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4,1.0,1.0,75.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4E1,1.0,1.0,76.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4E1D1,1.0,1.0,77.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4E1D1C1,1.0,1.0,78.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4E1D1C1F2,1.0,1.0,79.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C3F4C8C4E2D2D3F1B3G4C2B4E1D1C1F2H3,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8,2.0,3.0,81.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4,2.0,3.0,82.0,115.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2,1.0,6.0,83.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8,1.0,6.0,84.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8,1.0,6.0,85.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7,1.0,6.0,86.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3,1.0,6.0,87.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3,1.0,6.0,88.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2,1.0,6.0,89.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2,1.0,6.0,90.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4,1.0,6.0,91.0,252.0,364.0,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7,1.0,3.0,92.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7B4,1.0,3.0,93.0,407.0,418.0,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7B4B6,1.0,1.0,94.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7B4B6A4,1.0,1.0,95.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7B4B6A4G3,1.0,1.0,96.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4E2E8D8C7C3D3C2D2G4F7B4B6A4G3F2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7,2.0,3.0,98.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2,2.0,3.0,99.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6,2.0,3.0,100.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3,2.0,3.0,101.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7,2.0,3.0,102.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3,2.0,3.0,103.0,146.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4,2.0,2.0,104.0,233.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8,1.0,2.0,105.0,506.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4,3.0,1.0,106.0,328.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5,1.0,7.0,107.0,322.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4,1.0,4.0,108.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4,1.0,4.0,109.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3,1.0,4.0,110.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3G8,1.0,4.0,111.0,144.0,171.0,527.0
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3G8E8,1.0,1.0,112.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3G8E8D8,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4D2C2,1.0,1.0,114.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4F7G4H4D2C2F2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3,1.0,3.0,116.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4,1.0,3.0,117.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2,1.0,3.0,118.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2,1.0,3.0,119.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3,1.0,3.0,120.0,180.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8,1.0,2.0,121.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8,1.0,2.0,122.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4,1.0,2.0,123.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6,1.0,2.0,124.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1,1.0,2.0,125.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1G4,1.0,2.0,126.0,384.0,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1G4F7,1.0,1.0,127.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1G4F7A5,1.0,1.0,128.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1G4F7A5G3,1.0,1.0,129.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3B5C8F4C3C4E2D2D3E8D8B4B6F1G4F7A5G3B3,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7G4,1.0,2.0,131.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7G4F7,1.0,2.0,132.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7G4F7F2,1.0,2.0,133.0,246.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7G4F7F2H4,1.0,1.0,134.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8G3C4B5C3D3C7B3A4G6B4G7G4F7F2H4H3,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5,1.0,7.0,136.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4,1.0,7.0,137.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8,1.0,7.0,138.0,219.0,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4,1.0,4.0,139.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4C4,1.0,4.0,140.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4C4D3,1.0,4.0,141.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4C4D3G8,1.0,4.0,142.0,244.0,402.0,416.0
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4C4D3G8E8,1.0,1.0,143.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3C7C8F4E2G6C3F7G3H4B5G4B8B4C4D3G8E8D8,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3G8F1,1.0,1.0,145.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3H4B8G4B5B4C4D3G8F1D2,1.0,1.0,,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4,7.0,1.0,147.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5,7.0,1.0,148.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5D3,7.0,1.0,149.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5D3B4,7.0,1.0,150.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5D3B4F2,7.0,1.0,151.0,312.0,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5D3B4F2C2,4.0,1.0,152.0,,,
F5F6E6D6E7G5C5C6E3F8D7F3F4C8C7E2G6C3F7G3C4B5D3B4F2C2H3,4.0,1.0,153.0,484.0,,
