,num4black,num4white,0,1,2
F5,6.0,2.0,1.0,,
F5F6,6.0,2.0,2.0,,
F5F6E6,6.0,2.0,3.0,,
F5F6E6D6,6.0,2.0,4.0,,
F5F6E6D6E7,6.0,2.0,5.0,,
F5F6E6D6E7G5,6.0,2.0,6.0,,
F5F6E6D6E7G5C5,6.0,2.0,7.0,,
F5F6E6D6E7G5C5F4,6.0,2.0,8.0,,
F5F6E6D6E7G5C5F4C4,6.0,2.0,9.0,101.0,
F5F6E6D6E7G5C5F4C4D7,2.0,4.0,10.0,,
F5F6E6D6E7G5C5F4C4D7F7,2.0,4.0,11.0,,
F5F6E6D6E7G5C5F4C4D7F7E8,2.0,4.0,12.0,32.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3,2.0,1.0,13.0,285.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6,1.0,7.0,14.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8,1.0,7.0,15.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8,1.0,7.0,16.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3,1.0,7.0,17.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7,1.0,7.0,18.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8,1.0,7.0,19.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8,1.0,7.0,20.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3,1.0,7.0,21.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3,1.0,7.0,22.0,80.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4,2.0,3.0,23.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5,2.0,3.0,24.0,74.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6,2.0,1.0,25.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5,2.0,1.0,26.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6,2.0,1.0,27.0,122.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6A4,1.0,2.0,28.0,30.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6A4B4,3.0,1.0,29.0,269.0,302.0
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6A4B4H3,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6A4H6,1.0,1.0,31.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5B6B5A6A4H6G6,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8F3,3.0,3.0,33.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3,3.0,3.0,34.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6,3.0,3.0,35.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4,3.0,3.0,36.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3,3.0,3.0,37.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2,3.0,3.0,38.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5,3.0,3.0,39.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7,3.0,3.0,40.0,59.0,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2,11.0,1.0,41.0,50.0,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3,1.0,1.0,42.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3,1.0,1.0,43.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4,1.0,1.0,44.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2,1.0,1.0,45.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2G6,1.0,1.0,46.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2G6H6,1.0,1.0,47.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2G6H6C2,1.0,1.0,48.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2G6H6C2F1,1.0,1.0,49.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2H3D3H4H2G6H6C2F1B3,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3,10.0,1.0,51.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1,10.0,1.0,52.0,88.0,125.0
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4,4.0,1.0,53.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2,4.0,1.0,54.0,69.0,279.0
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2B6,1.0,1.0,55.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2B6D3,1.0,1.0,56.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2B6D3D1,1.0,1.0,57.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2B6D3D1C3,1.0,1.0,58.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2B6D3D1C3E1,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3,3.0,2.0,60.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6,3.0,2.0,61.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2,3.0,2.0,62.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6,3.0,2.0,63.0,153.0,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8,4.0,1.0,64.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8C8,4.0,1.0,65.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8C8D3,4.0,1.0,66.0,170.0,229.0
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8C8D3E1,1.0,1.0,67.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8C8D3E1F8,1.0,1.0,68.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7H3G6E2H6D8C8D3E1F8H4,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2H3,1.0,1.0,70.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2H3B5,1.0,1.0,71.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2H3B5D3,1.0,1.0,72.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2H3B5D3C3,1.0,1.0,73.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B4D2H3B5D3C3C2,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2,3.0,2.0,75.0,144.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2B5,2.0,2.0,76.0,204.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2B5A6,3.0,1.0,77.0,256.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2B5A6F1,1.0,1.0,78.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2B5A6F1B4,1.0,1.0,79.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3G4H5F2B5A6F1B4E2,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6,1.0,4.0,81.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5,1.0,4.0,82.0,95.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4,2.0,1.0,83.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4H5,2.0,1.0,84.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4H5A6,2.0,1.0,85.0,141.0,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4H5A6B3,1.0,1.0,86.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4H5A6B3B4,1.0,1.0,87.0,,
F5F6E6D6E7G5C5F4C4D7F7E8D3C6F8G8E3C7D8C8G3F3B6B5G4H5A6B3B4E2,1.0,1.0,,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6,2.0,1.0,89.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6C3,2.0,1.0,90.0,321.0,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6C3H6,1.0,4.0,91.0,232.0,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6C3H6B4,1.0,1.0,92.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6C3H6B4H4,1.0,1.0,93.0,,
F5F6E6D6E7G5C5F4C4D7F7E8F3E3C6G4G3F2H5C7E2B3F1B6C3H6B4H4D3,1.0,1.0,94.0,,
