,num4black,num4white,0,1,2,3
F5,3.0,2.0,1.0,,,
F5F6,3.0,2.0,2.0,,,
F5F6E6,3.0,2.0,3.0,,,
F5F6E6D6,3.0,2.0,4.0,,,
F5F6E6D6E7,3.0,2.0,5.0,,,
F5F6E6D6E7G5,3.0,2.0,6.0,,,
F5F6E6D6E7G5C5,3.0,2.0,7.0,,,
F5F6E6D6E7G5C5F7,3.0,2.0,8.0,,,
F5F6E6D6E7G5C5F7C4,3.0,2.0,9.0,,,
F5F6E6D6E7G5C5F7C4E3,3.0,2.0,10.0,,,
F5F6E6D6E7G5C5F7C4E3F4,3.0,2.0,11.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3,3.0,2.0,12.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6,3.0,2.0,13.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8,3.0,2.0,14.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3,3.0,2.0,15.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7,3.0,2.0,16.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8,3.0,2.0,17.0,40.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4,1.0,7.0,18.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8,1.0,7.0,19.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3,1.0,7.0,20.0,30.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6,1.0,6.0,21.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5,1.0,6.0,22.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6,1.0,6.0,23.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7,1.0,6.0,24.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4,1.0,6.0,25.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4H6,1.0,6.0,26.0,68.0,105.0,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4H6C3,1.0,4.0,27.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4H6C3B4,1.0,4.0,28.0,72.0,99.0,103.0
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4H6C3B4A5,1.0,1.0,29.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3C6B5B6C7A4H6C3B4A5A3,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4,2.0,1.0,31.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2,2.0,1.0,32.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6,2.0,1.0,33.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8,2.0,1.0,34.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8,2.0,1.0,35.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8C3,2.0,1.0,36.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8C3D2,2.0,1.0,37.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8C3D2E2,2.0,1.0,38.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8C3D2E2A3,2.0,1.0,39.0,74.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8G4C8B3B4C2C6F8G8C3D2E2A3A5,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8,2.0,2.0,41.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7,2.0,2.0,42.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6,2.0,2.0,43.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8,2.0,2.0,44.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8B8,2.0,2.0,45.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8B8B5,2.0,2.0,46.0,61.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8B8B5G4,1.0,7.0,47.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8B8B5G4H5,1.0,7.0,48.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6D8D3D7E8F8C7C6C8B8B5G4H5B6,1.0,7.0,49.0,53.0,57.0,
