,num4black,num4white,0,1,2,3,4
F5,3.0,4.0,1.0,,,,
F5F6,3.0,4.0,2.0,,,,
F5F6E6,3.0,4.0,3.0,,,,
F5F6E6D6,3.0,4.0,4.0,,,,
F5F6E6D6E7,3.0,4.0,5.0,,,,
F5F6E6D6E7G5,3.0,4.0,6.0,,,,
F5F6E6D6E7G5C5,3.0,4.0,7.0,,,,
F5F6E6D6E7G5C5F7,3.0,4.0,8.0,,,,
F5F6E6D6E7G5C5F7C4,3.0,4.0,9.0,,,,
F5F6E6D6E7G5C5F7C4E3,3.0,4.0,10.0,,,,
F5F6E6D6E7G5C5F7C4E3F4,3.0,4.0,11.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3,3.0,4.0,12.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6,3.0,4.0,13.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8,3.0,4.0,14.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3,3.0,4.0,15.0,30.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4,1.0,7.0,16.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6,1.0,7.0,17.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5,1.0,7.0,18.0,116.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2,3.0,3.0,19.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2,3.0,3.0,20.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1,3.0,3.0,21.0,45.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3,2.0,3.0,22.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3,2.0,3.0,23.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7,2.0,3.0,24.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2,2.0,3.0,25.0,73.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2F1,1.0,3.0,26.0,217.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2F1F8,1.0,2.0,27.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2F1F8G8,1.0,2.0,28.0,269.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2F1F8G8C7,1.0,1.0,29.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2F1F8G8C7D8,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7,2.0,4.0,31.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4,2.0,4.0,32.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4,2.0,4.0,33.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6,2.0,4.0,34.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6,2.0,4.0,35.0,106.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8,2.0,3.0,36.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2,2.0,3.0,37.0,54.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8,3.0,1.0,38.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8,3.0,1.0,39.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3,3.0,1.0,40.0,256.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3G3,2.0,1.0,41.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3G3H2,2.0,1.0,42.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3G3H2C7,2.0,1.0,43.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3G3H2C7D2,2.0,1.0,44.0,215.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2D8B8H3G3H2C7D2B3,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3,1.0,13.0,46.0,139.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3,1.0,10.0,47.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1,1.0,10.0,48.0,62.0,78.0,91.0,204.0
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2,6.0,1.0,49.0,84.0,159.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2D7,1.0,5.0,50.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2D7C7,1.0,5.0,51.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2D7C7B4,1.0,5.0,52.0,137.0,174.0,185.0,337.0
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2D7C7B4F2,1.0,1.0,53.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1C2D7C7B4F2B3,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3,2.0,2.0,55.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3,2.0,2.0,56.0,151.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2,3.0,1.0,57.0,68.0,101.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2H5,1.0,1.0,58.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2H5H7,1.0,1.0,59.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2H5H7C3,1.0,1.0,60.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2H5H7C3D8,1.0,1.0,61.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2H5H7C3D8B8,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4,1.0,3.0,63.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4H6,1.0,3.0,64.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4H6D7,1.0,3.0,65.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4H6D7E1,1.0,3.0,66.0,231.0,271.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4H6D7E1C2,1.0,1.0,67.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1C3G3C1H4H6D7E1C2H3,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2C1,1.0,3.0,69.0,97.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2C1D8,1.0,2.0,70.0,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2C1D8B8,1.0,2.0,71.0,254.0,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2C1D8B8E2,3.0,1.0,72.0,176.0,341.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3D7H4G4C6H6C8C2H3G3D2C1D8B8E2D1,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2B6,1.0,5.0,74.0,261.0,319.0,,
F5F6E6D6E7G5C5F7C4E3F4F3G6E8D3G4C6H5E2D2D1B3C3D7F2B6C7,1.0,3.0,75.0,,,,
