,num4black,num4white,0,1,2,3
F5,6.0,2.0,1.0,,,
F5F6,6.0,2.0,2.0,,,
F5F6E6,6.0,2.0,3.0,,,
F5F6E6D6,6.0,2.0,4.0,,,
F5F6E6D6E7,6.0,2.0,5.0,,,
F5F6E6D6E7G5,6.0,2.0,6.0,,,
F5F6E6D6E7G5C5,6.0,2.0,7.0,,,
F5F6E6D6E7G5C5F7,6.0,2.0,8.0,,,
F5F6E6D6E7G5C5F7C4,6.0,2.0,9.0,,,
F5F6E6D6E7G5C5F7C4F3,6.0,2.0,10.0,,,
F5F6E6D6E7G5C5F7C4F3E3,6.0,2.0,11.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6,6.0,2.0,12.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7,6.0,2.0,13.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8,6.0,2.0,14.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8,6.0,2.0,15.0,34.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5,5.0,2.0,16.0,54.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6,9.0,1.0,17.0,99.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3,5.0,1.0,18.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3,5.0,1.0,19.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3,5.0,1.0,20.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2,5.0,1.0,21.0,71.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6,2.0,2.0,22.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7,2.0,2.0,23.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4,2.0,2.0,24.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6,2.0,2.0,25.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4,2.0,2.0,26.0,30.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4E8,2.0,1.0,27.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4E8G8,2.0,1.0,28.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4E8G8H4,2.0,1.0,29.0,85.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4E8G8H4C8,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4,6.0,1.0,31.0,80.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4F2,2.0,2.0,32.0,114.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4F2E2,2.0,1.0,33.0,131.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4F2E2H5,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8,1.0,5.0,35.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6,1.0,5.0,36.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3,1.0,5.0,37.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8,1.0,5.0,38.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8,1.0,5.0,39.0,89.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3,1.0,4.0,40.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4,1.0,4.0,41.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3,1.0,4.0,42.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4,1.0,4.0,43.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5,1.0,4.0,44.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4,1.0,4.0,45.0,49.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3,1.0,3.0,46.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3F2,1.0,3.0,47.0,83.0,137.0,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3F2G3,1.0,1.0,48.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3F2G3E2,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5,3.0,1.0,50.0,68.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5A6,2.0,1.0,51.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5A6G4,2.0,1.0,52.0,53.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5A6G4H5,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5A6G4C7,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7,5.0,1.0,55.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8,5.0,1.0,56.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8,5.0,1.0,57.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8,5.0,1.0,58.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4,5.0,1.0,59.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2,5.0,1.0,60.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2,5.0,1.0,61.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3,5.0,1.0,62.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6,5.0,1.0,63.0,116.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5,4.0,1.0,64.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1,4.0,1.0,65.0,86.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1C1,1.0,1.0,66.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1C1C2,1.0,1.0,67.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1C1C2B3,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5F2,1.0,1.0,69.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5F2A3,1.0,1.0,70.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4B5F2A3D2,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2,3.0,1.0,72.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6,3.0,1.0,73.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4,3.0,1.0,74.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4,3.0,1.0,75.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4G4,3.0,1.0,76.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4G4H6,3.0,1.0,77.0,126.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4G4H6E2,1.0,2.0,78.0,123.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4G4H6E2G3,1.0,1.0,79.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2D2G6B4F4G4H6E2G3E8,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4C8,4.0,1.0,81.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4C8E8,4.0,1.0,82.0,121.0,139.0,152.0
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4H4C8E8G8,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3F2G4,2.0,1.0,84.0,129.0,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8D3B4B3F4A5A4A3F2G4H5,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5B6C3D3B3C2A6C7B4G6F4E8G8H4F2,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1B8,3.0,1.0,87.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1B8H3,3.0,1.0,88.0,122.0,125.0,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8B5C7C8E8G8F4E2D2G3G6H5E1B8H3D3,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8F4,2.0,1.0,90.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8F4D3,2.0,1.0,91.0,,,
F5F6E6D6E7G5C5F7C4F3E3C6D7D8F8C8B6C3E8G8F4D3H6,2.0,1.0,92.0,,,
