,num4black,num4white,0,1,2
F5,1.0,11.0,1.0,,
F5F6,1.0,11.0,2.0,,
F5F6E6,1.0,11.0,3.0,,
F5F6E6D6,1.0,11.0,4.0,,
F5F6E6D6E7,1.0,11.0,5.0,,
F5F6E6D6E7G5,1.0,11.0,6.0,,
F5F6E6D6E7G5C5,1.0,11.0,7.0,,
F5F6E6D6E7G5C5F7,1.0,11.0,8.0,,
F5F6E6D6E7G5C5F7C6,1.0,11.0,9.0,,
F5F6E6D6E7G5C5F7C6F4,1.0,11.0,10.0,,
F5F6E6D6E7G5C5F7C6F4D3,1.0,11.0,11.0,,
F5F6E6D6E7G5C5F7C6F4D3D8,1.0,11.0,12.0,38.0,70.0
F5F6E6D6E7G5C5F7C6F4D3D8G3,1.0,5.0,13.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3,1.0,5.0,14.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3,1.0,5.0,15.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2,1.0,5.0,16.0,101.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8,2.0,3.0,17.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4,2.0,3.0,18.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3,2.0,3.0,19.0,132.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2,1.0,3.0,20.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4,1.0,3.0,21.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2,1.0,3.0,22.0,30.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2,2.0,1.0,23.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5,2.0,1.0,24.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6,2.0,1.0,25.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6C7,2.0,1.0,26.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6C7G6,2.0,1.0,27.0,184.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6C7G6E8,1.0,1.0,28.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6C7G6E8C8,1.0,1.0,29.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2D2H5H6C7G6E8C8C3,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5,1.0,2.0,31.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6,1.0,2.0,32.0,174.0,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7,1.0,1.0,33.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7G6,1.0,1.0,34.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7G6C3,1.0,1.0,35.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7G6C3D2,1.0,1.0,36.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7G6C3D2E8,1.0,1.0,37.0,,
F5F6E6D6E7G5C5F7C6F4D3D8G3F3E3F2F8H4H3E2G4C2H5H6H7G6C3D2E8C7,1.0,1.0,,,
F5F6E6D6E7G5C5F7C6F4D3D8F8,3.0,1.0,39.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7,3.0,1.0,40.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3,3.0,1.0,41.0,53.0,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3,2.0,1.0,42.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8,2.0,1.0,43.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7,2.0,1.0,44.0,,
F5F6E6D6E7G5C5F7C6F4D3D8F8D7G3E3G8C7C8,2.0,1.0,45.0,130.0,
