,num4black,num4white,0,1,2,3
F5,5.0,6.0,1.0,,,
F5F6,5.0,6.0,2.0,,,
F5F6E6,5.0,6.0,3.0,,,
F5F6E6D6,5.0,6.0,4.0,,,
F5F6E6D6E7,5.0,6.0,5.0,,,
F5F6E6D6E7G5,5.0,6.0,6.0,,,
F5F6E6D6E7G5C5,5.0,6.0,7.0,,,
F5F6E6D6E7G5C5F7,5.0,6.0,8.0,,,
F5F6E6D6E7G5C5F7C6,5.0,6.0,9.0,,,
F5F6E6D6E7G5C5F7C6F4,5.0,6.0,10.0,,,
F5F6E6D6E7G5C5F7C6F4G6,5.0,6.0,11.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4,5.0,6.0,12.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8,5.0,6.0,13.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6,5.0,6.0,14.0,38.0,74.0,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3,5.0,4.0,15.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3,5.0,4.0,16.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3,5.0,4.0,17.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7,5.0,4.0,18.0,26.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5,5.0,1.0,19.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8,5.0,1.0,20.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7,5.0,1.0,21.0,54.0,65.0,165.0
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7B3,2.0,2.0,22.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7B3B4,2.0,2.0,23.0,169.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7B3B4C2,1.0,3.0,24.0,91.0,279.0,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7B3B4C2G4,2.0,1.0,25.0,259.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7B3B4C2G4F3,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8,5.0,3.0,27.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2,5.0,3.0,28.0,155.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5,5.0,2.0,29.0,82.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3,4.0,2.0,30.0,141.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4,4.0,1.0,31.0,287.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2,2.0,3.0,32.0,267.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3,4.0,1.0,33.0,391.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3F3,3.0,1.0,34.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3F3G4,3.0,1.0,35.0,197.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3F3G4H5,1.0,2.0,36.0,261.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3F3G4H5E2,2.0,1.0,37.0,216.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7E8D2B5B3B4C2G3F3G4H5E2A4,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4,10.0,1.0,39.0,60.0,111.0,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7,2.0,2.0,40.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8,2.0,2.0,41.0,137.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8,1.0,2.0,42.0,96.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3,1.0,1.0,43.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5,1.0,1.0,44.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7,1.0,1.0,45.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5,1.0,1.0,46.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6,1.0,1.0,47.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4,1.0,1.0,48.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6,1.0,1.0,49.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6C7,1.0,1.0,50.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6C7A3,1.0,1.0,51.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6C7A3A4,1.0,1.0,52.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6C7A3A4A5,1.0,1.0,53.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4D7E8C8B3H5H7B5A6B4B6C7A3A4A5D8,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2,1.0,2.0,55.0,97.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2E2,3.0,1.0,56.0,210.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2E2F3,1.0,1.0,57.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2E2F3D2,1.0,1.0,58.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2E2F3D2B4,1.0,1.0,59.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7C2E2F3D2B4G4,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4B5,4.0,1.0,61.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4B5B3,4.0,1.0,62.0,273.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4B5B3H5,3.0,1.0,63.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4B5B3H5H7,3.0,1.0,64.0,356.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6H4B5B3H5H7D8,1.0,1.0,,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2,1.0,3.0,66.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2,1.0,3.0,67.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2C8,1.0,3.0,68.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2C8F2,1.0,3.0,69.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2C8F2D2,1.0,3.0,70.0,275.0,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2C8F2D2F1,1.0,2.0,71.0,,,
F5F6E6D6E7G5C5F7C6F4G6C4F8H6D3C3E3D7B5D8C7E2C2C8F2D2F1B3,1.0,2.0,72.0,202.0,,
