,num4black,num4white,0,1,2,3,4
F5,3.0,7.0,1.0,,,,
F5F6,3.0,7.0,2.0,,,,
F5F6E6,3.0,7.0,3.0,,,,
F5F6E6D6,3.0,7.0,4.0,,,,
F5F6E6D6E7,3.0,7.0,5.0,,,,
F5F6E6D6E7G5,3.0,7.0,6.0,,,,
F5F6E6D6E7G5C5,3.0,7.0,7.0,,,,
F5F6E6D6E7G5C5F7,3.0,7.0,8.0,,,,
F5F6E6D6E7G5C5F7F4,3.0,7.0,9.0,,,,
F5F6E6D6E7G5C5F7F4D3,3.0,7.0,10.0,,,,
F5F6E6D6E7G5C5F7F4D3C4,3.0,7.0,11.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3,3.0,7.0,12.0,42.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2,11.0,1.0,13.0,60.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8,2.0,8.0,14.0,194.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3,2.0,6.0,15.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2,2.0,6.0,16.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4,2.0,6.0,17.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3,2.0,6.0,18.0,30.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3,2.0,4.0,19.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2,2.0,4.0,20.0,600.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1,2.0,3.0,21.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3,2.0,3.0,22.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5,2.0,3.0,23.0,1209.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5,1.0,3.0,24.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6,1.0,3.0,25.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6C1,1.0,3.0,26.0,145.0,1026.0,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6C1F8,1.0,1.0,27.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6C1F8F1,1.0,1.0,28.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6C1F8F1G1,1.0,1.0,29.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3G3E2E1C3H5B5G6C1F8F1G1C6,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6,3.0,2.0,31.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3,3.0,2.0,32.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5,3.0,2.0,33.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6,3.0,2.0,34.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4,3.0,2.0,35.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2,3.0,2.0,36.0,589.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7,3.0,1.0,37.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7G6,3.0,1.0,38.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7G6D8,3.0,1.0,39.0,435.0,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7G6D8C1,1.0,1.0,40.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7G6D8C1E1,1.0,1.0,41.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3D2E8F3F2G4H3C6G3H5H6H4E2D7G6D8C1E1D1,1.0,1.0,,,,,
F5F6E6D6E7G5C5F7F4D3C4E3G6,3.0,6.0,43.0,,,,
F5F6E6D6E7G5C5F7F4D3C4E3G6D8,3.0,6.0,44.0,74.0,90.0,,
